aggregated_date,id,protocol_name,category,type,chain_name,total_quantity,total_value_usd
2020-12-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,5917.0971599999975,3112554.8736600005
2020-12-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",staking,633.1325400000001,375418.5429
2020-12-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",Ethereum,633.1325400000001,375418.5429
2020-12-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",Ethereum-staking,633.1325400000001,375418.5429
2020-12-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,2932844.6851199996,1577602885.1181
2020-12-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,2932844.6851199986,1577602885.1181004
2020-12-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,2932844.685119999,1577602885.1181
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,218061.07338000005,274625704.05726
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-staking,218061.07338000005,274625704.05726004
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum,218061.07338,274625704.05726004
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-pool2,218061.07338,274625704.05726004
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon-borrowed,218061.07338,274625704.05726
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",pool2,218061.07337999996,274625704.05726004
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",staking,218061.07338000005,274625704.05725986
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon,218061.07338,274625704.05726
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",borrowed,218061.07338000007,274625704.0572599
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche-borrowed,218061.07338000005,274625704.0572601
2021-01-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche,218061.07338000007,274625704.05726
2021-01-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,1823608.5878999995,2201725910.2320004
2021-01-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,799.6087200000001,1116574.74768
2021-01-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,3535502.8811999997,4378171651.138441
2021-01-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,3535502.8812,4378171651.138441
2021-01-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,3535502.8812000006,4378171651.138439
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",pool2,1135406.77506,2690229502.2273593
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche,1135406.7750600006,2690229502.2273607
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche-borrowed,1135406.77506,2690229502.227359
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum,1135406.77506,2690229502.22736
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-pool2,1135406.7750600001,2690229502.2273593
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",borrowed,1135406.7750599994,2690229502.2273602
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon,1135406.77506,2690229502.2273593
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",staking,1135406.7750600001,2690229502.2273602
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-staking,1135406.77506,2690229502.22736
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon-borrowed,1135406.7750600001,2690229502.2273602
2021-02-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,1135406.77506,2690229502.22736
2021-02-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,1081555.02672,2500235217.7575006
2021-02-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,8288.350140000004,19995634.531320002
2021-02-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,3517576.2926400006,8099409928.035722
2021-02-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,3517576.2926400006,8099409928.03572
2021-02-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,3517576.29264,8099409928.035721
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",borrowed,2362635.1586399996,4990687729.755422
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon-borrowed,2362635.15864,4990687729.75542
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum,2362635.15864,4990687729.755421
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche-borrowed,2362635.15864,4990687729.75542
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon,2362635.1586399996,4990687729.75542
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-staking,2362635.1586399996,4990687729.755421
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-pool2,2362635.1586399996,4990687729.755422
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche,2362635.1586399986,4990687729.75542
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,2362635.15864,4990687729.755422
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",staking,2362635.1586399996,4990687729.755419
2021-03-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",pool2,2362635.1586399996,4990687729.755421
2021-03-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,1042710.4728600004,2200586047.75314
2021-03-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,12857.920979999992,27102235.222319994
2021-03-01,229,Gnosis Protocol v1,Prediction Market,"Infrastructure, Services & Financial Products",Ethereum,7.083540000000001,14863.033860000001
2021-03-01,344,ZKSwap,Chain,"Infrastructure, Services & Financial Products",Ethereum,2538.0782999999997,5204856.43806
2021-03-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,2835014.3229599996,6002384473.625401
2021-03-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,2835014.3229600005,6002384473.625401
2021-03-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,2835014.3229600014,6002384473.625402
2021-04-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",pool2,5336380.310160002,16370695574.899622
