id,name,chain,category,type,github,twitter,oracles,project_count
1933,Timeless Finance,Ethereum,Yield,Asset Management,,Timeless_Fi,[],1
3514,VMEX Finance,Optimism,Lending,"Lending, Borrowing & Real World Assets",[VMEX-finance],vmexfinance,[],1
3338,Chainlink Keepers,Ethereum,Oracle,"Infrastructure, Services & Financial Products",,chainlink,[],1
2639,Ruby.Exchange Yield,Europa,Yield,Asset Management,,ruby_exchange,[],1
2358,Dexit Finance Swap,Dexit,Dexes,Trading & Exchanges,,DexitNetwork,[],1
3585,TangleSwap,ShimmerEVM,Dexes,Trading & Exchanges,,TangleSwap,[],1
3652,Nostra alpha,Starknet,Lending,"Lending, Borrowing & Real World Assets",,nostrafinance,[],1
683,GoSwap,GoChain,Dexes,Trading & Exchanges,,goswapper,,1
1582,Aperture LM,Terra,Liquidity manager,Asset Management,,ApertureFinance,[],1
945,Jade Protocol,Binance,Reserve Currency,Asset Management,,JadeProtocol,,1
1044,Stader,Terra,Liquid Staking,Asset Management,[stader-labs],staderlabs,,1
3009,Avely Swap,Zilliqa,Dexes,Trading & Exchanges,,AvelyFinance,,1
1733,LNS,SmartBCH,Dexes,Trading & Exchanges,,bchdomains,[],1
1702,AGS Finance,Astar,Dexes,Trading & Exchanges,,AGSFinance_,[],1
2560,Unibot V2,Arbitrum,Liquidity manager,Asset Management,,DiamondProtocol,[],1
596,Flux Protocol,OKExChain,Lending,"Lending, Borrowing & Real World Assets",[01-finance],zero1_flux,"[Chainlink, TWAP]",1
2920,LSDx ETHx,Ethereum,Indexes,"Infrastructure, Services & Financial Products",,LSDxfinance,[],1
2802,HashDAO Finance,Arbitrum,Derivatives,Trading & Exchanges,,HashDAOFinance,[Chainlink],1
425,Tranchess Yield,Binance,Yield,Asset Management,,tranchess,,1
3444,Liquid Finance Protocol,Archway,Liquid Staking,Asset Management,,liquid_finance,[],1
1179,ExinSwap,Mixin,Dexes,Trading & Exchanges,,,,1
2354,Gamut Exchange,Kava,Dexes,Trading & Exchanges,,GamutExchange,[],1
1910,ShiftDollar,Cronos,Algo-Stables,Asset Management,,shift_dollar,[],1
519,Tezos Liquidity Baking,Tezos,Dexes,Trading & Exchanges,,tezos,,1
3146,Scatter,Ethereum,NFT Marketplace,Trading & Exchanges,,scatter_art,[],1
383,Osmosis DEX,Osmosis,Dexes,Trading & Exchanges,[osmosis-labs],osmosiszone,,1
533,OpenOcean,Binance,Dexes,Trading & Exchanges,[openocean-finance],OpenOceanGlobal,,1
1111,Wisteria Swap,Binance,Yield,Asset Management,,robiniaswap,,1
1223,TiPiDao,Binance,Reserve Currency,Asset Management,,TakeProfit_Fi,,1
531,Kuu Finance,Avalanche,Dexes,Trading & Exchanges,,KuuFinance,,1
2825,Nostra mainnet,Starknet,Lending,"Lending, Borrowing & Real World Assets",,nostrafinance,[],1
2333,JulSwap,Binance,Dexes,Trading & Exchanges,,JulSwap,[],1
2667,Arrakis V2,Ethereum,Liquidity manager,Asset Management,,ArrakisFinance,[],1
2116,0x,Ethereum,Dexes,Trading & Exchanges,[0xProject],0xProject,,1
2940,Turbos,Sui,Dexes,Trading & Exchanges,,Turbos_finance,[],1
2009,H2Odata,Ethereum,CDP,"Lending, Borrowing & Real World Assets",,H2O_data,"[Chainlink, TWAP, Internal]",1
2,WBTC,Ethereum,Bridge,Trading & Exchanges,[WrappedBTC],WrappedBTC,[],1
1704,Double Club,Binance,Yield Aggregator,Asset Management,,Double__Club,[TWAP],1
1415,Partial Finance,Fantom,Algo-Stables,Asset Management,,PartialFinance,[],1
549,Vigor,EOS,Lending,"Lending, Borrowing & Real World Assets",,vigorprotocol,,1
1359,CapitalDEX,Ethereum,Dexes,Trading & Exchanges,,Capitaldex_,,1
2414,Blur Bids,Ethereum,NFT Marketplace,Trading & Exchanges,,blur_io,[],1
2968,GND Protocol,Arbitrum,Yield,Asset Management,,GNDProtocol,[],1
