date,type,totalLiquidityUSD
2018-09-07 00:00:00,"Infrastructure, Services & Financial Products",2.552295738e-05
2018-09-08 00:00:00,"Infrastructure, Services & Financial Products",2.51915961e-05
2018-09-09 00:00:00,"Infrastructure, Services & Financial Products",2.4625501810000002e-05
2018-09-10 00:00:00,"Infrastructure, Services & Financial Products",2.442659897e-05
2018-09-11 00:00:00,"Infrastructure, Services & Financial Products",2.436038377e-05
2018-09-12 00:00:00,"Infrastructure, Services & Financial Products",2.309470467e-05
2018-09-13 00:00:00,"Infrastructure, Services & Financial Products",2.31009738e-05
2018-09-14 00:00:00,"Infrastructure, Services & Financial Products",2.4978546320000002e-05
2018-09-15 00:00:00,"Infrastructure, Services & Financial Products",2.423796787e-05
2018-09-16 00:00:00,"Infrastructure, Services & Financial Products",2.6320537179999998e-05
2018-09-17 00:00:00,"Infrastructure, Services & Financial Products",2.678166548e-05
2018-09-18 00:00:00,"Infrastructure, Services & Financial Products",2.56407226e-05
2018-09-19 00:00:00,"Infrastructure, Services & Financial Products",2.565088974e-05
2018-09-20 00:00:00,"Infrastructure, Services & Financial Products",2.621588658e-05
2018-09-21 00:00:00,"Infrastructure, Services & Financial Products",2.885383974e-05
2018-09-22 00:00:00,"Infrastructure, Services & Financial Products",2.956085285e-05
2018-09-23 00:00:00,"Infrastructure, Services & Financial Products",2.667649925e-05
2018-09-24 00:00:00,"Infrastructure, Services & Financial Products",2.953236829e-05
2018-09-25 00:00:00,"Infrastructure, Services & Financial Products",2.880466005e-05
2018-09-26 00:00:00,"Infrastructure, Services & Financial Products",2.80466475e-05
2018-09-27 00:00:00,"Infrastructure, Services & Financial Products",2.798784473e-05
2018-09-28 00:00:00,"Infrastructure, Services & Financial Products",2.869210022e-05
2018-09-29 00:00:00,"Infrastructure, Services & Financial Products",2.870189659e-05
2018-09-30 00:00:00,"Infrastructure, Services & Financial Products",2.6446280279999998e-05
2018-10-01 00:00:00,"Infrastructure, Services & Financial Products",2.643119888e-05
2018-10-02 00:00:00,"Infrastructure, Services & Financial Products",2.876792122e-05
2018-10-03 00:00:00,"Infrastructure, Services & Financial Products",2.937380575e-05
2018-10-04 00:00:00,"Infrastructure, Services & Financial Products",2.79102406e-05
2018-10-05 00:00:00,"Infrastructure, Services & Financial Products",0.00019201134684000001
2018-10-06 00:00:00,"Infrastructure, Services & Financial Products",0.00019113273980000001
2018-10-07 00:00:00,"Infrastructure, Services & Financial Products",0.00019160619418
2018-10-08 00:00:00,"Infrastructure, Services & Financial Products",0.00019189120493
2018-10-09 00:00:00,"Infrastructure, Services & Financial Products",0.00019174109133
2018-10-10 00:00:00,"Infrastructure, Services & Financial Products",0.00019130018098000002
2018-10-11 00:00:00,"Infrastructure, Services & Financial Products",0.00019116588154
2018-10-12 00:00:00,"Infrastructure, Services & Financial Products",0.00019124374664999998
2018-10-13 00:00:00,"Infrastructure, Services & Financial Products",0.0001918935502
2018-10-14 00:00:00,"Infrastructure, Services & Financial Products",0.00019223427112
2018-10-15 00:00:00,"Infrastructure, Services & Financial Products",0.00019369965578
2018-10-16 00:00:00,"Infrastructure, Services & Financial Products",0.00019649665792
2018-10-17 00:00:00,"Infrastructure, Services & Financial Products",0.0001964222353
2018-10-18 00:00:00,"Infrastructure, Services & Financial Products",0.00019624394388999999
2018-10-19 00:00:00,"Infrastructure, Services & Financial Products",0.00019346342932
2018-10-20 00:00:00,"Infrastructure, Services & Financial Products",0.000193242818
2018-10-21 00:00:00,"Infrastructure, Services & Financial Products",0.00019638308476
2018-10-22 00:00:00,"Infrastructure, Services & Financial Products",0.00019520284272
2018-10-23 00:00:00,"Infrastructure, Services & Financial Products",0.00019314638998
2018-10-24 00:00:00,"Infrastructure, Services & Financial Products",0.00019186978118
2018-10-25 00:00:00,"Infrastructure, Services & Financial Products",0.00019195682843
2018-10-26 00:00:00,"Infrastructure, Services & Financial Products",0.00019182382491
2018-10-27 00:00:00,"Infrastructure, Services & Financial Products",0.00019278407349000002
2018-10-28 00:00:00,"Infrastructure, Services & Financial Products",0.00019076779864
2018-10-29 00:00:00,"Infrastructure, Services & Financial Products",0.00019164577406
2018-10-30 00:00:00,"Infrastructure, Services & Financial Products",0.00018933678578
2018-10-31 00:00:00,"Infrastructure, Services & Financial Products",0.00019243254064
2018-11-01 00:00:00,"Infrastructure, Services & Financial Products",0.00019189036580999997
2018-11-02 00:00:00,"Infrastructure, Services & Financial Products",0.00019369531157
2018-11-03 00:00:00,"Infrastructure, Services & Financial Products",0.00019539865145
2018-11-03 00:00:00,Trading & Exchanges,3.464389061e-05
2018-11-04 00:00:00,"Infrastructure, Services & Financial Products",0.00019424455885000001
2018-11-04 00:00:00,Trading & Exchanges,4.126818311e-05
2018-11-05 00:00:00,"Infrastructure, Services & Financial Products",0.00019113027015
2018-11-05 00:00:00,Trading & Exchanges,4.055178262e-05
2018-11-06 00:00:00,"Infrastructure, Services & Financial Products",0.00019353271174
2018-11-06 00:00:00,Trading & Exchanges,4.309134015e-05
2018-11-07 00:00:00,"Infrastructure, Services & Financial Products",0.00019476930297
2018-11-07 00:00:00,Trading & Exchanges,0.00015397938867
2018-11-08 00:00:00,"Infrastructure, Services & Financial Products",0.00019634177391
2018-11-08 00:00:00,Trading & Exchanges,0.00018022900276
2018-11-09 00:00:00,"Infrastructure, Services & Financial Products",0.000195037941
2018-11-09 00:00:00,Trading & Exchanges,0.00017577326173
2018-11-10 00:00:00,"Infrastructure, Services & Financial Products",0.00019633316778
2018-11-10 00:00:00,Trading & Exchanges,0.00017220767577999998
2018-11-11 00:00:00,"Infrastructure, Services & Financial Products",0.00019589498103
2018-11-11 00:00:00,Trading & Exchanges,0.00018764243953
2018-11-12 00:00:00,"Infrastructure, Services & Financial Products",0.00019655069571999998
2018-11-12 00:00:00,Trading & Exchanges,0.00020095511257
2018-11-13 00:00:00,"Infrastructure, Services & Financial Products",0.00019647221031
2018-11-13 00:00:00,Trading & Exchanges,0.00020238224124999999
2018-11-14 00:00:00,"Infrastructure, Services & Financial Products",0.00019686243269
2018-11-14 00:00:00,Trading & Exchanges,0.00019832766498
2018-11-15 00:00:00,"Infrastructure, Services & Financial Products",0.00019928396551000002
2018-11-15 00:00:00,Trading & Exchanges,0.00019752848025
2018-11-16 00:00:00,"Infrastructure, Services & Financial Products",0.00019692371909999998
2018-11-16 00:00:00,Trading & Exchanges,0.00019942687552
2018-11-17 00:00:00,"Infrastructure, Services & Financial Products",0.00019548357634
2018-11-17 00:00:00,Trading & Exchanges,0.00020310329289
2018-11-18 00:00:00,"Infrastructure, Services & Financial Products",0.00019558853694
2018-11-18 00:00:00,Trading & Exchanges,0.00019923885914
2018-11-19 00:00:00,"Infrastructure, Services & Financial Products",0.00019444262966
2018-11-19 00:00:00,Trading & Exchanges,0.00020115768698
2018-11-20 00:00:00,"Infrastructure, Services & Financial Products",0.00019563688326999998
2018-11-20 00:00:00,Trading & Exchanges,0.0001994435133
2018-11-21 00:00:00,"Infrastructure, Services & Financial Products",0.00019565662017000001
2018-11-21 00:00:00,Trading & Exchanges,0.00017078575468
2018-11-22 00:00:00,"Infrastructure, Services & Financial Products",0.00019383781198999999
2018-11-22 00:00:00,Trading & Exchanges,0.00018317194532
2018-11-23 00:00:00,"Infrastructure, Services & Financial Products",0.00019394728168
2018-11-23 00:00:00,Trading & Exchanges,0.00018528225164
2018-11-24 00:00:00,"Infrastructure, Services & Financial Products",0.00019353024189
2018-11-24 00:00:00,Trading & Exchanges,0.00017225778447000001
2018-11-25 00:00:00,"Infrastructure, Services & Financial Products",0.00019332261965000002
2018-11-25 00:00:00,Trading & Exchanges,0.00015703218379000002
2018-11-26 00:00:00,"Infrastructure, Services & Financial Products",0.00019475414976
2018-11-26 00:00:00,Trading & Exchanges,0.00015822394771
2018-11-27 00:00:00,"Infrastructure, Services & Financial Products",0.0001937059175
2018-11-27 00:00:00,Trading & Exchanges,0.00017024267181
